epi_week,disease,no._of_cases
2014-W38,Viral Hepatitis E,0
2014-W38,Yellow Fever,0
2014-W39,Acute Viral hepatitis B,1
2014-W39,Acute Viral hepatitis C,1
2014-W39,Avian Influenza,0
2014-W39,Campylobacterenterosis,9
2014-W39,Chikungunya Fever,1
2014-W39,Cholera,0
2014-W39,Dengue Fever,344
2014-W39,Dengue Haemorrhagic Fever,1
2014-W39,Diphtheria,0
2014-W39,Encephalitis,1
2014-W39,Haemophilus influenzae type b,0
2014-W39,"Hand, Foot Mouth Disease",488
2014-W39,Legionellosis,0
2014-W39,Malaria,0
2014-W39,Measles,0
2014-W39,Melioidosis,1
2014-W39,Meningococcal Infection,0
2014-W39,Mumps,14
2014-W39,Nipah virus infection,0
2014-W39,Paratyphoid,1
2014-W39,Pertussis,0
2014-W39,Plague,0
2014-W39,Pneumococcal Disease (invasive),7
2014-W39,Poliomyelitis,0
2014-W39,Rubella,0
2014-W39,Salmonellosis(non-enteric fevers),41
2014-W39,SARS,0
2014-W39,Typhoid,2
2014-W39,Viral Hepatitis A,1
2014-W39,Viral Hepatitis E,1
2014-W39,Yellow Fever,0
2014-W40,Acute Viral hepatitis B,4
2014-W40,Acute Viral hepatitis C,1
2014-W40,Avian Influenza,0
2014-W40,Campylobacterenterosis,4
2014-W40,Chikungunya Fever,1
2014-W40,Cholera,0
2014-W40,Dengue Fever,339
2014-W40,Dengue Haemorrhagic Fever,0
2014-W40,Diphtheria,0
2014-W40,Encephalitis,0
2014-W40,Haemophilus influenzae type b,0
2014-W40,"Hand, Foot Mouth Disease",512
2014-W40,Legionellosis,0
2014-W40,Malaria,2
2014-W40,Measles,0
2014-W40,Melioidosis,1
2014-W40,Meningococcal Infection,0
2014-W40,Mumps,7
2014-W40,Nipah virus infection,0
2014-W40,Paratyphoid,0
2014-W40,Pertussis,2
2014-W40,Plague,0
2014-W40,Pneumococcal Disease (invasive),2
2014-W40,Poliomyelitis,0
2014-W40,Rubella,0
2014-W40,Salmonellosis(non-enteric fevers),39
2014-W40,SARS,0
2014-W40,Typhoid,0
2014-W40,Viral Hepatitis A,0
2014-W40,Viral Hepatitis E,2
2014-W40,Yellow Fever,0
2014-W41,Acute Viral hepatitis B,1
2014-W41,Acute Viral hepatitis C,4
2014-W41,Avian Influenza,0
2014-W41,Campylobacterenterosis,3
2014-W41,Chikungunya Fever,0
2014-W41,Cholera,1
2014-W41,Dengue Fever,278
2014-W41,Dengue Haemorrhagic Fever,0
2014-W41,Diphtheria,0
2014-W41,Encephalitis,1
2014-W41,Haemophilus influenzae type b,0
2014-W41,"Hand, Foot Mouth Disease",382
2014-W41,Legionellosis,0
2014-W41,Malaria,2
2014-W41,Measles,0
2014-W41,Melioidosis,0
2014-W41,Meningococcal Infection,0
2014-W41,Mumps,11
2014-W41,Nipah virus infection,0
2014-W41,Paratyphoid,0
2014-W41,Pertussis,0
2014-W41,Plague,0
2014-W41,Pneumococcal Disease (invasive),2
2014-W41,Poliomyelitis,0
2014-W41,Rubella,0
2014-W41,Salmonellosis(non-enteric fevers),29
2014-W41,SARS,0
2014-W41,Typhoid,1
2014-W41,Viral Hepatitis A,1
2014-W41,Viral Hepatitis E,1
2014-W41,Yellow Fever,0
2014-W42,Acute Viral hepatitis B,2
2014-W42,Acute Viral hepatitis C,3
2014-W42,Avian Influenza,0
2014-W42,Campylobacterenterosis,12
2014-W42,Chikungunya Fever,1
2014-W42,Cholera,0
2014-W42,Dengue Fever,297
2014-W42,Dengue Haemorrhagic Fever,0
2014-W42,Diphtheria,0
2014-W42,Encephalitis,1
2014-W42,Haemophilus influenzae type b,0
2014-W42,"Hand, Foot Mouth Disease",385
2014-W42,Legionellosis,3
2014-W42,Malaria,1
2014-W42,Measles,0
2014-W42,Melioidosis,2
2014-W42,Meningococcal Infection,0
2014-W42,Mumps,12
2014-W42,Nipah virus infection,0
2014-W42,Paratyphoid,0
2014-W42,Pertussis,0
2014-W42,Plague,0
2014-W42,Pneumococcal Disease (invasive),3
2014-W42,Poliomyelitis,0
2014-W42,Rubella,0
2014-W42,Salmonellosis(non-enteric fevers),42
2014-W42,SARS,0
2014-W42,Typhoid,1
2014-W42,Viral Hepatitis A,1
2014-W42,Viral Hepatitis E,0
2014-W42,Yellow Fever,0
2014-W43,Acute Viral hepatitis B,1
2014-W43,Acute Viral hepatitis C,2
2014-W43,Avian Influenza,0
2014-W43,Campylobacterenterosis,8
2014-W43,Chikungunya Fever,1
2014-W43,Cholera,0
2014-W43,Dengue Fever,213
2014-W43,Dengue Haemorrhagic Fever,0
2014-W43,Diphtheria,0
2014-W43,Encephalitis,1
2014-W43,Haemophilus influenzae type b,0
2014-W43,"Hand, Foot Mouth Disease",364
2014-W43,Legionellosis,0
2014-W43,Malaria,1
2014-W43,Measles,0
2014-W43,Melioidosis,0
2014-W43,Meningococcal Infection,0
2014-W43,Mumps,6
2014-W43,Nipah virus infection,0
2014-W43,Paratyphoid,0
2014-W43,Pertussis,2
2014-W43,Plague,0
2014-W43,Pneumococcal Disease (invasive),3
2014-W43,Poliomyelitis,0
2014-W43,Rubella,0
2014-W43,Salmonellosis(non-enteric fevers),35
2014-W43,SARS,0
2014-W43,Typhoid,0
2014-W43,Viral Hepatitis A,1
2014-W43,Viral Hepatitis E,1
2014-W43,Yellow Fever,0
2014-W44,Acute Viral hepatitis B,10
2014-W44,Acute Viral hepatitis C,1
2014-W44,Avian Influenza,0
2014-W44,Campylobacterenterosis,4
2014-W44,Chikungunya Fever,0
2014-W44,Cholera,0
2014-W44,Dengue Fever,186
2014-W44,Dengue Haemorrhagic Fever,0
2014-W44,Diphtheria,0
2014-W44,Encephalitis,1
2014-W44,Haemophilus influenzae type b,0
2014-W44,"Hand, Foot Mouth Disease",377
2014-W44,Legionellosis,1
2014-W44,Malaria,1
2014-W44,Measles,1
2014-W44,Melioidosis,1
2014-W44,Meningococcal Infection,0
2014-W44,Mumps,7
2014-W44,Nipah virus infection,0
2014-W44,Paratyphoid,0
2014-W44,Pertussis,0
2014-W44,Plague,0
2014-W44,Pneumococcal Disease (invasive),4
2014-W44,Poliomyelitis,0
2014-W44,Rubella,0
2014-W44,Salmonellosis(non-enteric fevers),32
2014-W44,SARS,0
2014-W44,Typhoid,0
2014-W44,Viral Hepatitis A,2
2014-W44,Viral Hepatitis E,3
2014-W44,Yellow Fever,0
2014-W45,Acute Viral hepatitis B,4
2014-W45,Acute Viral hepatitis C,2
2014-W45,Avian Influenza,0
2014-W45,Campylobacterenterosis,8
2014-W45,Chikungunya Fever,0
2014-W45,Cholera,0
2014-W45,Dengue Fever,168
2014-W45,Dengue Haemorrhagic Fever,1
2014-W45,Diphtheria,0
2014-W45,Encephalitis,1
2014-W45,Haemophilus influenzae type b,0
2014-W45,"Hand, Foot Mouth Disease",400
2014-W45,Legionellosis,0
2014-W45,Malaria,4
2014-W45,Measles,0
2014-W45,Melioidosis,0
2014-W45,Meningococcal Infection,0
2014-W45,Mumps,7
2014-W45,Nipah virus infection,0
2014-W45,Paratyphoid,0
2014-W45,Pertussis,0
2014-W45,Plague,0
2014-W45,Pneumococcal Disease (invasive),3
2014-W45,Poliomyelitis,0
2014-W45,Rubella,1
2014-W45,Salmonellosis(non-enteric fevers),37
2014-W45,SARS,0
2014-W45,Typhoid,0
2014-W45,Viral Hepatitis A,0
2014-W45,Viral Hepatitis E,1
2014-W45,Yellow Fever,0
2014-W46,Acute Viral hepatitis B,3
2014-W46,Acute Viral hepatitis C,0
2014-W46,Avian Influenza,0
2014-W46,Campylobacterenterosis,4
2014-W46,Chikungunya Fever,0
2014-W46,Cholera,0
2014-W46,Dengue Fever,158
2014-W46,Dengue Haemorrhagic Fever,0
2014-W46,Diphtheria,0
2014-W46,Encephalitis,0
2014-W46,Haemophilus influenzae type b,0
2014-W46,"Hand, Foot Mouth Disease",359
2014-W46,Legionellosis,2
2014-W46,Malaria,1
2014-W46,Measles,0
2014-W46,Melioidosis,0
2014-W46,Meningococcal Infection,0
2014-W46,Mumps,8
2014-W46,Nipah virus infection,0
2014-W46,Paratyphoid,0
2014-W46,Pertussis,0
2014-W46,Plague,0
2014-W46,Pneumococcal Disease (invasive),2
2014-W46,Poliomyelitis,0
2014-W46,Rubella,0
2014-W46,Salmonellosis(non-enteric fevers),42
2014-W46,SARS,0
2014-W46,Typhoid,1
2014-W46,Viral Hepatitis A,1
2014-W46,Viral Hepatitis E,1
2014-W46,Yellow Fever,0
2014-W47,Acute Viral hepatitis B,3
2014-W47,Acute Viral hepatitis C,0
2014-W47,Avian Influenza,0
2014-W47,Campylobacterenterosis,4
2014-W47,Chikungunya Fever,1
2014-W47,Cholera,0
2014-W47,Dengue Fever,149
2014-W47,Dengue Haemorrhagic Fever,0
2014-W47,Diphtheria,0
2014-W47,Encephalitis,0
2014-W47,Haemophilus influenzae type b,0
2014-W47,"Hand, Foot Mouth Disease",357
2014-W47,Legionellosis,1
2014-W47,Malaria,0
2014-W47,Measles,0
2014-W47,Melioidosis,0
2014-W47,Meningococcal Infection,0
2014-W47,Mumps,14
2014-W47,Nipah virus infection,0
2014-W47,Paratyphoid,1
2014-W47,Pertussis,0
2014-W47,Plague,0
2014-W47,Pneumococcal Disease (invasive),8
2014-W47,Poliomyelitis,0
2014-W47,Rubella,0
2014-W47,Salmonellosis(non-enteric fevers),34
2014-W47,SARS,0
2014-W47,Typhoid,1
2014-W47,Viral Hepatitis A,1
2014-W47,Viral Hepatitis E,1
2014-W47,Yellow Fever,0
2014-W48,Acute Viral hepatitis B,0
2014-W48,Acute Viral hepatitis C,0
2014-W48,Avian Influenza,0
2014-W48,Campylobacterenterosis,8
2014-W48,Chikungunya Fever,1
2014-W48,Cholera,0
2014-W48,Dengue Fever,162
2014-W48,Dengue Haemorrhagic Fever,0
2014-W48,Diphtheria,0
2014-W48,Encephalitis,0
2014-W48,Haemophilus influenzae type b,0
2014-W48,"Hand, Foot Mouth Disease",356
2014-W48,Legionellosis,0
2014-W48,Malaria,0
2014-W48,Measles,0
2014-W48,Melioidosis,2
2014-W48,Meningococcal Infection,1
2014-W48,Mumps,5
2014-W48,Nipah virus infection,0
2014-W48,Paratyphoid,0
2014-W48,Pertussis,0
2014-W48,Plague,0
2014-W48,Pneumococcal Disease (invasive),1
2014-W48,Poliomyelitis,0
2014-W48,Rubella,1
2014-W48,Salmonellosis(non-enteric fevers),24
2014-W48,SARS,0
2014-W48,Typhoid,1
2014-W48,Viral Hepatitis A,1
2014-W48,Viral Hepatitis E,2
2014-W48,Yellow Fever,0
2014-W49,Acute Viral hepatitis B,0
2014-W49,Acute Viral hepatitis C,0
2014-W49,Avian Influenza,0
2014-W49,Campylobacterenterosis,8
2014-W49,Chikungunya Fever,1
2014-W49,Cholera,0
2014-W49,Dengue Fever,212
2014-W49,Dengue Haemorrhagic Fever,0
2014-W49,Diphtheria,0
2014-W49,Encephalitis,1
2014-W49,Haemophilus influenzae type b,0
2014-W49,"Hand, Foot Mouth Disease",302
2014-W49,Legionellosis,1
2014-W49,Malaria,1
2014-W49,Measles,0
2014-W49,Melioidosis,0
2014-W49,Meningococcal Infection,0
2014-W49,Mumps,8
2014-W49,Nipah virus infection,0
2014-W49,Paratyphoid,0
2014-W49,Pertussis,0
2014-W49,Plague,0
2014-W49,Pneumococcal Disease (invasive),0
2014-W49,Poliomyelitis,0
2014-W49,Rubella,0
2014-W49,Salmonellosis(non-enteric fevers),29
2014-W49,SARS,0
2014-W49,Typhoid,0
2014-W49,Viral Hepatitis A,0
2014-W49,Viral Hepatitis E,5
2014-W49,Yellow Fever,0
2014-W50,Acute Viral hepatitis B,2
2014-W50,Acute Viral hepatitis C,0
2014-W50,Avian Influenza,0
2014-W50,Campylobacterenterosis,9
2014-W50,Chikungunya Fever,1
2014-W50,Cholera,0
2014-W50,Dengue Fever,177
2014-W50,Dengue Haemorrhagic Fever,0
2014-W50,Diphtheria,0
2014-W50,Encephalitis,1
2014-W50,Haemophilus influenzae type b,0
2014-W50,"Hand, Foot Mouth Disease",371
2014-W50,Legionellosis,0
2014-W50,Malaria,1
2014-W50,Measles,1
2014-W50,Melioidosis,0
2014-W50,Meningococcal Infection,1
2014-W50,Mumps,5
2014-W50,Nipah virus infection,0
2014-W50,Paratyphoid,0
2014-W50,Pertussis,2
2014-W50,Plague,0
2014-W50,Pneumococcal Disease (invasive),5
2014-W50,Poliomyelitis,0
2014-W50,Rubella,0
2014-W50,Salmonellosis(non-enteric fevers),22
2014-W50,SARS,0
2014-W50,Typhoid,2
2014-W50,Viral Hepatitis A,0
2014-W50,Viral Hepatitis E,1
2014-W50,Yellow Fever,0
2014-W51,Acute Viral hepatitis B,2
2014-W51,Acute Viral hepatitis C,2
2014-W51,Avian Influenza,0
2014-W51,Campylobacterenterosis,3
2014-W51,Chikungunya Fever,0
2014-W51,Cholera,0
2014-W51,Dengue Fever,198
2014-W51,Dengue Haemorrhagic Fever,0
2014-W51,Diphtheria,0
2014-W51,Encephalitis,0
2014-W51,Haemophilus influenzae type b,0
2014-W51,"Hand, Foot Mouth Disease",439
2014-W51,Legionellosis,1
2014-W51,Malaria,0
2014-W51,Measles,0
2014-W51,Melioidosis,1
2014-W51,Meningococcal Infection,1
2014-W51,Mumps,10
2014-W51,Nipah virus infection,0
2014-W51,Paratyphoid,0
2014-W51,Pertussis,0
2014-W51,Plague,0
2014-W51,Pneumococcal Disease (invasive),4
2014-W51,Poliomyelitis,0
2014-W51,Rubella,0
2014-W51,Salmonellosis(non-enteric fevers),27
2014-W51,SARS,0
2014-W51,Typhoid,0
2014-W51,Viral Hepatitis A,1
2014-W51,Viral Hepatitis E,0
2014-W51,Yellow Fever,0
2014-W52,Acute Viral hepatitis B,0
2014-W52,Acute Viral hepatitis C,0
2014-W52,Avian Influenza,0
2014-W52,Campylobacterenterosis,5
2014-W52,Chikungunya Fever,0
2014-W52,Cholera,0
2014-W52,Dengue Fever,188
2014-W52,Dengue Haemorrhagic Fever,0
2014-W52,Diphtheria,0
2014-W52,Encephalitis,0
2014-W52,Haemophilus influenzae type b,0
2014-W52,"Hand, Foot Mouth Disease",398
2014-W52,Legionellosis,1
2014-W52,Malaria,1
2014-W52,Measles,1
2014-W52,Melioidosis,1
2014-W52,Meningococcal Infection,0
2014-W52,Mumps,7
2014-W52,Nipah virus infection,0
2014-W52,Paratyphoid,0
2014-W52,Pertussis,0
2014-W52,Plague,0
2014-W52,Pneumococcal Disease (invasive),5
2014-W52,Poliomyelitis,0
2014-W52,Rubella,0
2014-W52,Salmonellosis(non-enteric fevers),27
2014-W52,SARS,0
2014-W52,Typhoid,0
2014-W52,Viral Hepatitis A,2
2014-W52,Viral Hepatitis E,1
2014-W52,Yellow Fever,0
2014-W53,Acute Viral hepatitis B,1
2014-W53,Acute Viral hepatitis C,2
2014-W53,Avian Influenza,0
2014-W53,Campylobacterenterosis,8
2014-W53,Chikungunya Fever,0
2014-W53,Cholera,0
2014-W53,Dengue Fever,158
2014-W53,Dengue Haemorrhagic Fever,0
2014-W53,Diphtheria,0
2014-W53,Encephalitis,0
2014-W53,Haemophilus influenzae type b,0
2014-W53,"Hand, Foot Mouth Disease",375
2014-W53,Legionellosis,0
2014-W53,Malaria,1
2014-W53,Measles,1
2014-W53,Melioidosis,1
2014-W53,Meningococcal Infection,0
2014-W53,Mumps,6
2014-W53,Nipah virus infection,0
2014-W53,Paratyphoid,0
2014-W53,Pertussis,0
2014-W53,Plague,0
2014-W53,Pneumococcal Disease (invasive),3
2014-W53,Poliomyelitis,0
2014-W53,Rubella,0
2014-W53,Salmonellosis(non-enteric fevers),29
2014-W53,SARS,0
2014-W53,Typhoid,2
2014-W53,Viral Hepatitis A,1
2014-W53,Viral Hepatitis E,2
2014-W53,Yellow Fever,0
2015-W01,Acute Viral hepatitis B,2
2015-W01,Acute Viral hepatitis C,1
2015-W01,Avian Influenza,0
2015-W01,Campylobacterenterosis,12
2015-W01,Chikungunya Fever,2
2015-W01,Cholera,0
2015-W01,Dengue Fever,256
2015-W01,Dengue Haemorrhagic Fever,1
2015-W01,Diphtheria,0
2015-W01,Encephalitis,1
2015-W01,Haemophilus influenzae type b,0
2015-W01,"Hand, Foot Mouth Disease",422
2015-W01,Legionellosis,0
2015-W01,Malaria,1
2015-W01,Measles,0
2015-W01,Melioidosis,2
2015-W01,Meningococcal Infection,0
2015-W01,Mumps,8
2015-W01,Nipah virus infection,0
2015-W01,Paratyphoid,2
2015-W01,Pertussis,2
2015-W01,Plague,0
2015-W01,Pneumococcal Disease (invasive),3
2015-W01,Poliomyelitis,0
2015-W01,Rubella,1
2015-W01,Salmonellosis(non-enteric fevers),44
2015-W01,SARS,0
2015-W01,Typhoid,1
2015-W01,Viral Hepatitis A,0
2015-W01,Viral Hepatitis E,0
2015-W01,Yellow Fever,0
2015-W02,Acute Viral hepatitis B,0
2015-W02,Acute Viral hepatitis C,0
2015-W02,Avian Influenza,0
2015-W02,Campylobacterenterosis,9
2015-W02,Chikungunya Fever,1
2015-W02,Cholera,0
2015-W02,Dengue Fever,228
2015-W02,Dengue Haemorrhagic Fever,0
2015-W02,Diphtheria,0
2015-W02,Encephalitis,2
2015-W02,Haemophilus influenzae type b,0
2015-W02,"Hand, Foot Mouth Disease",554
2015-W02,Legionellosis,1
2015-W02,Malaria,0
2015-W02,Measles,0
2015-W02,Melioidosis,1
2015-W02,Meningococcal Infection,1
2015-W02,Mumps,10
2015-W02,Nipah virus infection,0
2015-W02,Paratyphoid,1
2015-W02,Pertussis,2
2015-W02,Plague,0
2015-W02,Pneumococcal Disease (invasive),3
2015-W02,Poliomyelitis,0
2015-W02,Rubella,0
2015-W02,Salmonellosis(non-enteric fevers),40
2015-W02,SARS,0
2015-W02,Typhoid,2
2015-W02,Viral Hepatitis A,1
2015-W02,Viral Hepatitis E,0
2015-W02,Yellow Fever,0
2015-W03,Acute Viral hepatitis B,0
2015-W03,Acute Viral hepatitis C,0
2015-W03,Avian Influenza,0
2015-W03,Campylobacterenterosis,9
2015-W03,Chikungunya Fever,0
2015-W03,Cholera,0
2015-W03,Dengue Fever,237
2015-W03,Dengue Haemorrhagic Fever,0
2015-W03,Diphtheria,0
2015-W03,Encephalitis,0
2015-W03,Haemophilus influenzae type b,0
2015-W03,"Hand, Foot Mouth Disease",492
2015-W03,Legionellosis,0
2015-W03,Malaria,0
2015-W03,Measles,0
2015-W03,Melioidosis,1
2015-W03,Meningococcal Infection,0
2015-W03,Mumps,9
2015-W03,Nipah virus infection,0
2015-W03,Paratyphoid,0
2015-W03,Pertussis,1
2015-W03,Plague,0
2015-W03,Pneumococcal Disease (invasive),2
2015-W03,Poliomyelitis,0
2015-W03,Rubella,0
2015-W03,Salmonellosis(non-enteric fevers),30
2015-W03,SARS,0
2015-W03,Typhoid,2
2015-W03,Viral Hepatitis A,5
2015-W03,Viral Hepatitis E,1
2015-W03,Yellow Fever,0
2015-W04,Acute Viral hepatitis B,0
2015-W04,Acute Viral hepatitis C,0
2015-W04,Avian Influenza,0
2015-W04,Campylobacterenterosis,10
2015-W04,Chikungunya Fever,1
2015-W04,Cholera,0
2015-W04,Dengue Fever,259
2015-W04,Dengue Haemorrhagic Fever,0
2015-W04,Diphtheria,0
2015-W04,Encephalitis,2
2015-W04,Haemophilus influenzae type b,0
2015-W04,"Hand, Foot Mouth Disease",502
2015-W04,Legionellosis,1
2015-W04,Malaria,0
2015-W04,Measles,0
2015-W04,Melioidosis,0
2015-W04,Meningococcal Infection,0
2015-W04,Mumps,10
2015-W04,Nipah virus infection,0
2015-W04,Paratyphoid,0
2015-W04,Pertussis,2
2015-W04,Plague,0
2015-W04,Pneumococcal Disease (invasive),2
2015-W04,Poliomyelitis,0
2015-W04,Rubella,0
2015-W04,Salmonellosis(non-enteric fevers),21
2015-W04,SARS,0
2015-W04,Typhoid,4
2015-W04,Viral Hepatitis A,0
2015-W04,Viral Hepatitis E,2
2015-W04,Yellow Fever,0
2015-W05,Acute Viral hepatitis B,0
2015-W05,Acute Viral hepatitis C,0
2015-W05,Avian Influenza,0
2015-W05,Campylobacterenterosis,4
2015-W05,Chikungunya Fever,2
2015-W05,Cholera,0
2015-W05,Dengue Fever,212
2015-W05,Dengue Haemorrhagic Fever,0
2015-W05,Diphtheria,0
2015-W05,Encephalitis,0
2015-W05,Haemophilus influenzae type b,0
2015-W05,"Hand, Foot Mouth Disease",492
2015-W05,Legionellosis,0
2015-W05,Malaria,0
2015-W05,Measles,2
2015-W05,Melioidosis,1
2015-W05,Meningococcal Infection,0
2015-W05,Mumps,12
2015-W05,Nipah virus infection,0
2015-W05,Paratyphoid,0
2015-W05,Pertussis,2
2015-W05,Plague,0
2015-W05,Pneumococcal Disease (invasive),3
2015-W05,Poliomyelitis,0
2015-W05,Rubella,0
2015-W05,Salmonellosis(non-enteric fevers),22
2015-W05,SARS,0
2015-W05,Typhoid,1
2015-W05,Viral Hepatitis A,1
2015-W05,Viral Hepatitis E,1
2015-W05,Yellow Fever,0
2015-W06,Acute Viral hepatitis B,2
2015-W06,Acute Viral hepatitis C,2
2015-W06,Avian Influenza,0
2015-W06,Campylobacterenterosis,5
2015-W06,Chikungunya Fever,0
2015-W06,Cholera,0
2015-W06,Dengue Fever,173
2015-W06,Dengue Haemorrhagic Fever,0
2015-W06,Diphtheria,0
2015-W06,Encephalitis,0
2015-W06,Haemophilus influenzae type b,0
2015-W06,"Hand, Foot Mouth Disease",690
2015-W06,Legionellosis,1
2015-W06,Malaria,1
2015-W06,Measles,0
2015-W06,Melioidosis,0
2015-W06,Meningococcal Infection,0
2015-W06,Mumps,11
2015-W06,Nipah virus infection,0
2015-W06,Paratyphoid,0
2015-W06,Pertussis,1
2015-W06,Plague,0
2015-W06,Pneumococcal Disease (invasive),2
2015-W06,Poliomyelitis,0
2015-W06,Rubella,1
2015-W06,Salmonellosis(non-enteric fevers),31
2015-W06,SARS,0
2015-W06,Typhoid,1
2015-W06,Viral Hepatitis A,3
2015-W06,Viral Hepatitis E,1
2015-W06,Yellow Fever,0
2015-W07,Acute Viral hepatitis B,0
2015-W07,Acute Viral hepatitis C,0
2015-W07,Avian Influenza,0
2015-W07,Campylobacterenterosis,11
2015-W07,Chikungunya Fever,1
2015-W07,Cholera,0
2015-W07,Dengue Fever,99
2015-W07,Dengue Haemorrhagic Fever,1
2015-W07,Diphtheria,0
2015-W07,Encephalitis,0
2015-W07,Haemophilus influenzae type b,0
2015-W07,"Hand, Foot Mouth Disease",417
2015-W07,Legionellosis,0
2015-W07,Malaria,0
2015-W07,Measles,1
2015-W07,Melioidosis,1
2015-W07,Meningococcal Infection,0
2015-W07,Mumps,9
2015-W07,Nipah virus infection,0
2015-W07,Paratyphoid,0
2015-W07,Pertussis,1
2015-W07,Plague,0
2015-W07,Pneumococcal Disease (invasive),3
2015-W07,Poliomyelitis,0
2015-W07,Rubella,1
2015-W07,Salmonellosis(non-enteric fevers),24
2015-W07,SARS,0
2015-W07,Typhoid,1
2015-W07,Viral Hepatitis A,1
2015-W07,Viral Hepatitis E,1
2015-W07,Yellow Fever,0
2015-W08,Acute Viral hepatitis B,2
2015-W08,Acute Viral hepatitis C,0
2015-W08,Avian Influenza,0
2015-W08,Campylobacterenterosis,17
2015-W08,Chikungunya Fever,0
2015-W08,Cholera,0
2015-W08,Dengue Fever,172
2015-W08,Dengue Haemorrhagic Fever,0
2015-W08,Diphtheria,0
2015-W08,Encephalitis,2
2015-W08,Haemophilus influenzae type b,0
2015-W08,"Hand, Foot Mouth Disease",573
2015-W08,Legionellosis,1
2015-W08,Malaria,0
2015-W08,Measles,2
2015-W08,Melioidosis,2
2015-W08,Meningococcal Infection,0
2015-W08,Mumps,11
2015-W08,Nipah virus infection,0
2015-W08,Paratyphoid,1
2015-W08,Pertussis,1
2015-W08,Plague,0
2015-W08,Pneumococcal Disease (invasive),5
2015-W08,Poliomyelitis,0
2015-W08,Rubella,0
2015-W08,Salmonellosis(non-enteric fevers),30
2015-W08,SARS,0
2015-W08,Typhoid,0
2015-W08,Viral Hepatitis A,2
2015-W08,Viral Hepatitis E,0
2015-W08,Yellow Fever,0
2015-W09,Acute Viral hepatitis B,2
2015-W09,Acute Viral hepatitis C,0
2015-W09,Avian Influenza,0
2015-W09,Campylobacterenterosis,8
2015-W09,Chikungunya Fever,0
2015-W09,Cholera,0
2015-W09,Dengue Fever,189
2015-W09,Dengue Haemorrhagic Fever,1
2015-W09,Diphtheria,0
2015-W09,Encephalitis,0
2015-W09,Haemophilus influenzae type b,0
2015-W09,"Hand, Foot Mouth Disease",645
2015-W09,Legionellosis,0
2015-W09,Malaria,0
2015-W09,Measles,0
2015-W09,Melioidosis,1
2015-W09,Meningococcal Infection,0
2015-W09,Mumps,2
2015-W09,Nipah virus infection,0
2015-W09,Paratyphoid,1
2015-W09,Pertussis,0
2015-W09,Plague,0
2015-W09,Pneumococcal Disease (invasive),1
2015-W09,Poliomyelitis,0
2015-W09,Rubella,0
2015-W09,Salmonellosis(non-enteric fevers),31
2015-W09,SARS,0
2015-W09,Typhoid,0
2015-W09,Viral Hepatitis A,0
2015-W09,Viral Hepatitis E,0
2015-W09,Yellow Fever,0
2015-W10,Acute Viral hepatitis B,3
2015-W10,Acute Viral hepatitis C,0
2015-W10,Avian Influenza,0
2015-W10,Campylobacterenterosis,5
2015-W10,Chikungunya Fever,0
2015-W10,Cholera,0
2015-W10,Dengue Fever,110
2015-W10,Dengue Haemorrhagic Fever,0
2015-W10,Diphtheria,0
2015-W10,Encephalitis,0
2015-W10,Haemophilus influenzae type b,0
2015-W10,"Hand, Foot Mouth Disease",609
2015-W10,Legionellosis,1
2015-W10,Malaria,1
2015-W10,Measles,0
2015-W10,Melioidosis,0
2015-W10,Meningococcal Infection,0
2015-W10,Mumps,6
2015-W10,Nipah virus infection,0
2015-W10,Paratyphoid,1
2015-W10,Pertussis,1
2015-W10,Plague,0
2015-W10,Pneumococcal Disease (invasive),2
2015-W10,Poliomyelitis,0
2015-W10,Rubella,0
2015-W10,Salmonellosis(non-enteric fevers),27
2015-W10,SARS,0
2015-W10,Typhoid,1
2015-W10,Viral Hepatitis A,0
2015-W10,Viral Hepatitis E,1
2015-W10,Yellow Fever,0
2015-W11,Acute Viral hepatitis B,1
2015-W11,Acute Viral hepatitis C,1
2015-W11,Avian Influenza,0
2015-W11,Campylobacterenterosis,7
2015-W11,Chikungunya Fever,1
2015-W11,Cholera,0
2015-W11,Dengue Fever,91
2015-W11,Dengue Haemorrhagic Fever,0
2015-W11,Diphtheria,0
2015-W11,Encephalitis,0
2015-W11,Haemophilus influenzae type b,0
2015-W11,"Hand, Foot Mouth Disease",556
2015-W11,Legionellosis,1
2015-W11,Malaria,1
2015-W11,Measles,0
2015-W11,Melioidosis,0
2015-W11,Meningococcal Infection,0
2015-W11,Mumps,8
2015-W11,Nipah virus infection,0
2015-W11,Paratyphoid,4
2015-W11,Pertussis,1
2015-W11,Plague,0
2015-W11,Pneumococcal Disease (invasive),1
2015-W11,Poliomyelitis,0
2015-W11,Rubella,1
2015-W11,Salmonellosis(non-enteric fevers),27
2015-W11,SARS,0
2015-W11,Typhoid,2
2015-W11,Viral Hepatitis A,0
2015-W11,Viral Hepatitis E,0
2015-W11,Yellow Fever,0
2015-W12,Acute Viral hepatitis B,3
2015-W12,Acute Viral hepatitis C,0
2015-W12,Avian Influenza,0
2015-W12,Campylobacterenterosis,4
2015-W12,Chikungunya Fever,0
2015-W12,Cholera,0
2015-W12,Dengue Fever,129
2015-W12,Dengue Haemorrhagic Fever,1
2015-W12,Diphtheria,0
2015-W12,Encephalitis,0
2015-W12,Haemophilus influenzae type b,0
2015-W12,"Hand, Foot Mouth Disease",558
2015-W12,Legionellosis,0
2015-W12,Malaria,0
2015-W12,Measles,0
